Categoria,FraseID,Texto,NumPalavras
curtas_objetivas,curtas_objetivas_01,Bom dia.,2
curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4
curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4
curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5
curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3
curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4
curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4
curtas_objetivas,curtas_objetivas_08,Este teste foi concluído.,4
curtas_objetivas,curtas_objetivas_09,O microfone está ligado.,4
curtas_objetivas,curtas_objetivas_10,A conexão voltou ao normal.,5
medias_informativas,medias_informativas_01,O projeto foi desenvolvido para avaliar modelos de síntese de voz em português brasileiro.,14
medias_informativas,medias_informativas_02,A equipe registrou os resultados de latência e inteligibilidade em uma planilha compartilhada.,13
medias_informativas,medias_informativas_03,"O usuário pode ouvir o áudio gerado diretamente no navegador, sem instalar programas adicionais.",14
medias_informativas,medias_informativas_04,"A análise comparativa considera tempo de resposta, clareza da fala e custo computacional.",13
medias_informativas,medias_informativas_05,O experimento foi executado em ambiente controlado para reduzir variações entre os modelos.,13
medias_informativas,medias_informativas_06,Cada frase foi sintetizada com os mesmos parâmetros sempre que isso foi tecnicamente possível.,14
medias_informativas,medias_informativas_07,Os dados coletados permitem discutir vantagens práticas de cada abordagem de TTS.,12
medias_informativas,medias_informativas_08,O corpus inclui frases com estruturas simples e complexas para ampliar a cobertura linguística.,14
medias_informativas,medias_informativas_09,Os resultados foram organizados por categoria para facilitar a interpretação posterior.,11
medias_informativas,medias_informativas_10,A metodologia prioriza modelos abertos e acessíveis para uso acadêmico e social.,12
longas_narrativas,longas_narrativas_01,"Durante a execução do experimento, observou-se que modelos mais leves tendem a responder com maior rapidez, embora nem sempre ofereçam o mesmo nível de naturalidade percebida em textos mais extensos.",30
longas_narrativas,longas_narrativas_02,"Em um cenário de acessibilidade informacional, a escolha de um sistema de síntese de voz deve considerar não apenas a qualidade sonora, mas também a viabilidade de uso em equipamentos simples e contextos offline.",34
longas_narrativas,longas_narrativas_03,"Ao comparar diferentes arquiteturas de TTS, torna-se possível identificar compromissos entre velocidade de geração, inteligibilidade da saída, naturalidade da prosódia e capacidade de personalização da voz.",26
longas_narrativas,longas_narrativas_04,"O corpus foi planejado para incluir frases curtas, médias e longas, além de exemplos com números, datas, nomes próprios e palavras estrangeiras, de modo a ampliar a robustez da avaliação.",30
longas_narrativas,longas_narrativas_05,"Embora os resultados quantitativos sejam importantes, a interpretação qualitativa continua sendo essencial, especialmente quando o objetivo do projeto envolve experiência do usuário e acessibilidade prática.",25
longas_narrativas,longas_narrativas_06,"A literatura recente mostra avanços significativos em modelos neurais de síntese de voz, mas ainda existe uma diferença relevante entre desempenho laboratorial e adoção em contextos cotidianos de uso.",29
longas_narrativas,longas_narrativas_07,"Em aplicações educacionais e assistivas, um modelo de TTS precisa manter clareza suficiente para leituras prolongadas, evitando fadiga auditiva e favorecendo compreensão contínua do conteúdo apresentado.",26
longas_narrativas,longas_narrativas_08,"A possibilidade de reexecutar o experimento em notebook reprodutível fortalece a confiabilidade metodológica do trabalho, pois permite validação independente por parte da banca examinadora.",24
longas_narrativas,longas_narrativas_09,"Mesmo quando um modelo apresenta maior expressividade, isso não significa que ele seja automaticamente o mais adequado, já que latência e custo computacional podem limitar seu uso em cenários reais.",30
longas_narrativas,longas_narrativas_10,"A comparação sistemática entre alternativas abertas contribui para a democratização do acesso à tecnologia, sobretudo em projetos que buscam beneficiar usuários com diferentes perfis e restrições de infraestrutura.",28
numeros_medidas_moedas,numeros_medidas_moedas_01,"O sensor registrou 3,5 metros de distância até a parede.",10
numeros_medidas_moedas,numeros_medidas_moedas_02,A temperatura caiu para 18 graus às 6 horas da manhã.,11
numeros_medidas_moedas,numeros_medidas_moedas_03,O produto custa 249 reais e 90 centavos nesta semana.,10
numeros_medidas_moedas,numeros_medidas_moedas_04,"A amostra continha 12,7 mililitros de solução concentrada.",8
numeros_medidas_moedas,numeros_medidas_moedas_05,O arquivo possui 256 megabytes e foi enviado em 42 segundos.,11
numeros_medidas_moedas,numeros_medidas_moedas_06,"A velocidade média do teste ficou em 87,3 quilômetros por hora.",11
numeros_medidas_moedas,numeros_medidas_moedas_07,Foram processados 1.250 registros em menos de 5 minutos.,9
numeros_medidas_moedas,numeros_medidas_moedas_08,O orçamento final estimado foi de 7.840 reais.,8
numeros_medidas_moedas,numeros_medidas_moedas_09,A bateria chegou a 15 por cento de carga restante.,10
numeros_medidas_moedas,numeros_medidas_moedas_10,"O experimento utilizou 4 modelos, 140 frases e 3 métricas principais.",11
datas_horarios,datas_horarios_01,A apresentação final será no dia 22 de novembro de 2026.,11
datas_horarios,datas_horarios_02,O sistema foi atualizado em 3 de abril de 2025 às 14 horas e 30 minutos.,16
datas_horarios,datas_horarios_03,"A reunião está marcada para terça-feira, às 8 horas da manhã.",11
datas_horarios,datas_horarios_04,O relatório foi entregue em 12 de setembro de 2024.,10
datas_horarios,datas_horarios_05,O acesso ao laboratório será liberado amanhã às 19 horas.,10
datas_horarios,datas_horarios_06,"No dia primeiro de janeiro, a plataforma ficou indisponível por duas horas.",12
datas_horarios,datas_horarios_07,A coleta de dados começou em 7 de maio e terminou em 18 de junho.,15
datas_horarios,datas_horarios_08,"O atendimento ocorrerá das 9 horas às 17 horas, sem intervalo.",11
datas_horarios,datas_horarios_09,O evento internacional terá início em 15 de agosto às 10 horas.,12
datas_horarios,datas_horarios_10,"Na sexta-feira passada, o servidor reiniciou automaticamente às 23 horas e 45 minutos.",13
nomes_proprios_brasileiros,nomes_proprios_brasileiros_01,João Pedro apresentou o seminário para a professora Helena.,9
nomes_proprios_brasileiros,nomes_proprios_brasileiros_02,Ana Beatriz enviou o relatório revisado para Carlos Eduardo.,9
nomes_proprios_brasileiros,nomes_proprios_brasileiros_03,Mariana encontrou Luiz Fernando na biblioteca central.,7
nomes_proprios_brasileiros,nomes_proprios_brasileiros_04,Gabriel Souza participou da banca com Patrícia Almeida.,8
nomes_proprios_brasileiros,nomes_proprios_brasileiros_05,Fernanda pediu apoio técnico a Ricardo Menezes.,7
nomes_proprios_brasileiros,nomes_proprios_brasileiros_06,Juliana e Marcelo organizaram os arquivos do projeto.,8
nomes_proprios_brasileiros,nomes_proprios_brasileiros_07,Beatriz Nogueira conversou com Vinícius sobre os resultados.,8
nomes_proprios_brasileiros,nomes_proprios_brasileiros_08,Rafaela acompanhou a leitura feita por Paulo Henrique.,8
nomes_proprios_brasileiros,nomes_proprios_brasileiros_09,Camila avisou Daniela sobre a mudança de cronograma.,8
nomes_proprios_brasileiros,nomes_proprios_brasileiros_10,Thiago Lopes recebeu orientação de Renata Carvalho.,7
nomes_internacionais,nomes_internacionais_01,Michael Johnson enviou uma mensagem para Catherine Miller.,8
nomes_internacionais,nomes_internacionais_02,Sofia Rossi participou da reunião com Matteo Bianchi.,8
nomes_internacionais,nomes_internacionais_03,Yuki Tanaka apresentou o protótipo para Kenji Sato.,8
nomes_internacionais,nomes_internacionais_04,Fatima Al-Hassan revisou o documento com Omar Khaled.,8
