Modelo,Categoria,FraseID,Texto,NumPalavras,Latência (s),WER,Transcrição Whisper,Arquivo,Status
Piper,curtas_objetivas,curtas_objetivas_01,Bom dia.,2,0.165,0.5,bom dia!,audios_tcc/piper_curtas_objetivas_curtas_objetivas_01.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_01,Bom dia.,2,1.021,0.5,bom dia!,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_01.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_01,Bom dia.,2,10.54,1.0,bom dia! muito!,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_01.wav,OK
Piper,curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4,0.22,0.0,a porta está aberta.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_02.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4,1.833,0.0,a porta está aberta.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_02.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4,9.531,0.0,a porta está aberta.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_02.wav,OK
Piper,curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4,0.286,0.0,o sistema iniciou corretamente.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_03.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4,2.074,0.0,o sistema iniciou corretamente.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_03.wav,OK
XTTS,curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4,18.58,0.25,o sistema iniciou corretamente.poata.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_03.wav,OK
Piper,curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5,0.228,0.0,hoje o céu está limpo.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_04.wav,OK
Kokoro,curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5,1.47,0.0,hoje o céu está limpo.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_04.wav,OK
